rei rainha 
casa parede
gelo água 
congelamento resfriamento
cadeira mesa 
mobília sala
computador teclado 
mouse tela
filme cinema 
diretor ator
teclado instrumento 
piano música
sol estrela 
céu galáxia
rio água 
correnteza peixe
terra planeta 
sistema solar
hospital enfermeiro 
paciente tratamento
amigo colega 
parceiro cumplicidade
bebida manhã
conhecimento saber
bicicleta pedal 
ciclista passeio
cachorro osso 
brinquedo pet
planta flor 
jardim paisagismo
sapato pé 
calçado andar
câmera fotografia 
imagem lente
chave cofre 
segurança senha
verão praia
mão braço 
corpo movimento
cadeado chave 
segurança bloqueio
avião piloto 
viagem voo
carro garagem 
estacionamento vaga
universidade faculdade 
curso graduação
livraria livros 
leitura estante
casamento noiva 
cerimônia festa
escola sala 
aula educação
refrigerante bebida 
gaseificada lata
jornalista notícia 
reportagem imprensa
cozinha fogão 
comida chef
pescador peixe 
mar barco
guitarra corda 
música som
nuvem céu 
tempestade chuva
perfume aroma
quadro moldura 
parede arte
camisa roupa 
tecido vestimenta
computador processador 
memória armazenamento
fruta doce 
árvore colheita
praia areia 
mar sol
caminhão carga 
estrada transporte
janela cortina 
casa decoração
relógio pulso 
tempo ponteiro
piscina água 
natação mergulho
cimento construção 
prédio edificação
lousa giz 
professor aula
grama verde 
jardim parque
piano música 
tecla som
caderno papel 
escrita anotações
mesa jantar 
comida refeição
bicicleta passeio 
exercício saúde
casa abertura
telefone ligação 
celular comunicação
cadeira assento 
conforto descanso
pássaro voo 
asa penas
futebol gol 
time esporte
chuva tempestade 
relâmpago trovão
energia luz
trem ferrovia 
estação viagem
sorvete frio 
doce sobremesa
carteira dinheiro 
documento bolso
geladeira frio 
alimento conservação
livro capa 
páginas leitura
tinta papel
sombra árvore 
sol descanso
contato mensagem
ponte rio 
travessia estrutura
quadro parede 
decoração arte
esportes saúde
guarda-chuva chuva 
proteção molhado
sala sofá 
televisão conforto
churrasco carne 
grelha fogo
férias descanso 
viagem lazer
cadeira roda 
mobilidade conforto
celular internet 
aplicativo mensagem
microfone som 
voz gravação
fotografia câmera 
imagem álbum
piloto avião 
voo navegação
bebê criança 
pais família
barco navegação 
mar porto
mochila escola 
material estudante
caminhão transporte 
carga rodovia
obra edificação
praia sol 
mar areia
futebol bola 
gol torcida
tênis quadra 
raquete jogo
parque descanso
controle voo
chuva água 
céu tempestade
garrafa água 
tampa bebida
ator peça
tecla melodia
ligação comunicação
computador internet 
rede conexão
parque natureza
homem mulher 
menino menina
príncipe princesa
tio tia 
sobrinho sobrinha
marido esposa 
noivo noiva
garoto garota 
rapaz moça
ator atriz 
cantor cantora
poeta poetisa 
autor autora
professor professora 
doutor doutora
policial policiala 
advogado advogada
jogador jogadora 
nadador nadadora
pintor pintora 
escultor escultora
diretor diretora 
chefe chefa
mestre mestra 
sacerdote sacerdotisa
ministro ministra 
presidente presidenta
leão leoa 
tigre tigresa
cachorro cadela 
gato gata
cavalo égua 
touro vaca
herói heroína 
deus deusa
imperador imperatriz 
embaixador embaixadora
governador governadora 
senador senadora
editor editora 
escritor escritora
piloto pilota 
sogro sogra 
genro nora
genro nora 
bispo bispa
filho filha 
viúvo viúva
galo galinha 
pato pata
garçom garçonete 
anfitrião anfitriã
conde condessa
duque duquesa 
visconde viscondessa
barão baronesa 
arcebispo arcebispa
cardeal cardeala 
abade abadessa
herdeiro herdeira 
guardião guardiã
senhor senhora 
monge monja
patrão patroa 
bicho bicha
governador governadora
embaixador embaixadora 
